linking_ID,title,arabic_sugar_per_portion_grams,dutch_sugar_per_portion_grams,category,Arabic_Recipes_URL,Dutch_Recipes_URL
154,Kruidkoek met gember en rozijnen,38.3,66.0,cake,https://kitchen.sayidaty.net/node/10436/كيكة-القرفة-بالزبيب/حلويات,https://www.ah.nl/allerhande/recept/R-R234750/kruidkoek-met-gember-en-rozijnen
238,Chocolade-bietenmuffins,52.5,49.5,cake,https://kitchen.sayidaty.net/node/10102/كب-كيك-الشوكولاتة-بالكريمة/حلويات,https://www.ah.nl/allerhande/recept/R-R931354/chocolade-bietenmuffins
255,Oranjekoek,33.3,15.1,cake,https://kitchen.sayidaty.net/node/9768/كيك-البرتقال-بالفواكة-المجففة-خطوة-بخطوة-بالصور/حلويات/خطوة-بخطوة,https://www.ah.nl/allerhande/recept/R-R187908/oranjekoek
21,Weespermoppen met kardemom,36.7,18.3,cake,https://kitchen.sayidaty.net/node/6816/كيك-البرتقال-بالهيل/حلويات,https://www.ah.nl/allerhande/recept/R-R1185190/weespermoppen-met-kardemom
83,Aardbeien met slagroom,20.0,0.3,cake,https://kitchen.sayidaty.net/node/6656/ترايفيل-الفراولة-مع-كيك-الفانيلا/حلويات,https://www.ah.nl/allerhande/recept/R-R444870/aardbeien-met-slagroom
113,Prinsessencakejes,14.3,7.8,cake,https://kitchen.sayidaty.net/node/1301/كب-كيك-الربيع-الشهي/حلويات,https://www.ah.nl/allerhande/recept/R-R472502/prinsessencakejes
172,Sinaasappeltaart met chocoladeglazuur,39.6,37.5,cake,https://kitchen.sayidaty.net/node/6519/كيك-الشوكولاتة-بالبرتقال/حلويات,https://www.ah.nl/allerhande/recept/R-R7660/sinaasappeltaart-met-chocoladeglazuur
116,Kersttulband      ,68.2,19.5,cake,https://kitchen.sayidaty.net/node/1915/كيك-الزبادي-السهل/حلويات,https://www.ah.nl/allerhande/recept/R-R369596/kersttulband
121,Sneeuwmannetje,25.0,0.0,cake,https://kitchen.sayidaty.net/node/3949/كب-كيك-جوز-الهند-بالكريمة/حلويات,https://www.ah.nl/allerhande/recept/R-R369676/sneeuwmannetje
105,Kokos-limoencake met limoenglazuur,79.7,17.5,cake,https://kitchen.sayidaty.net/node/3743/كيك-جوز-الهند-بالليمون-الأخضر/حلويات,https://www.ah.nl/allerhande/recept/R-R805392/kokos-limoencake-met-limoenglazuur
147,Amandel-broodpuddinkjes,0.0,3.9,cake,https://kitchen.sayidaty.net/node/3419/كيك-اللوز-بالبرتقال-الشهي/حلويات,https://www.ah.nl/allerhande/recept/R-R8078/amandel-broodpuddinkjes
128,Cake met vers fruit,0.0,0.0,cake,https://kitchen.sayidaty.net/node/3163/كيك-الفواكة-الشهي/حلويات,https://www.ah.nl/allerhande/recept/R-R210020/cake-met-vers-fruit
131,Zomerse eierkoek met kiwi en aardbeien,38.6,0.8,cake,https://kitchen.sayidaty.net/node/3114/آنجل-فود-كيك/حلويات,https://www.ah.nl/allerhande/recept/R-R400244/zomerse-eierkoek-met-kiwi-en-aardbeien
54,Frambozenpudding met witte chocolade,15.0,0.0,pudding,https://kitchen.sayidaty.net/node/12497/بودينغ-البلوبيري-السهل/حلويات,https://www.ah.nl/allerhande/recept/R-R387434/frambozenpudding-met-witte-chocolade
65,Vanillepudding met verse vruchtensaus,13.0,25.0,pudding,https://kitchen.sayidaty.net/node/9271/بودينغ-الفانيلا-بالعسل/حلويات,https://www.ah.nl/allerhande/recept/R-R428484/vanillepudding-met-verse-vruchtensaus
125,Beschuitpudding van familie Kooiman,2.0,5.0,pudding,https://kitchen.sayidaty.net/node/3364/طبقات-بسكويت-مع-بودينغ-الشوكولاتة-بالموز/حلويات,https://www.ah.nl/allerhande/recept/R-R490842/beschuitpudding-van-familie-kooiman
129,Gevulde koeken,0.0,17.0,koekjes,https://kitchen.sayidaty.net/node/7419/كوكيز-اللوز/حلويات,https://www.ah.nl/allerhande/recept/R-R1178266/gevulde-koeken
45,Vanille-gember­koekjes,20.0,0.0,koekjes,https://kitchen.sayidaty.net/node/6279/كوكيز-الشوكولاتة-بالفانيلا-بالفيديو/حلويات/وصفات-الفيديو,https://www.ah.nl/allerhande/recept/R-R853338/vanille-gember-koekjes
107,Mini-oranjekoeken,41.7,16.5,koekjes,https://kitchen.sayidaty.net/node/2802/بسكويت-الزبدة-الملون-بالفيديو/حلويات/وصفات-الفيديو,https://www.ah.nl/allerhande/recept/R-R1184980/mini-oranjekoeken
